,frame,X,Y,filename,cutout_array
0,0,209,76,/Users/RajSeehra/University/Masters/Semester 2/test folder/00008.tif,"[[213 228 230 210 212 251 256]
 [224 237 269 226 235 226 252]
 [238 215 240 205 237 241 246]
 [241 240 273 331 283 236 226]
 [249 239 213 395 397 246 252]
 [240 210 246 252 247 260 225]
 [227 235 234 234 258 262 278]]"
1,1,157,94,/Users/RajSeehra/University/Masters/Semester 2/test folder/00008.tif,"[[163 166 145 145 139 135 128]
 [176 159 186 168 164 150 146]
 [163 155 245 339 215 173 139]
 [150 181 492 710 358 148 163]
 [143 193 383 458 285 139 117]
 [153 162 206 201 169 135 122]
 [130 125 156 160 135 133 124]]"
2,2,154,160,/Users/RajSeehra/University/Masters/Semester 2/test folder/00008.tif,"[[240 251 237 219 274 218 268]
 [270 266 280 274 251 241 226]
 [224 287 290 445 265 242 273]
 [274 271 374 569 398 273 232]
 [232 218 266 342 248 289 237]
 [256 256 251 239 282 229 216]
 [287 231 265 247 249 275 221]]"
3,3,76,168,/Users/RajSeehra/University/Masters/Semester 2/test folder/00008.tif,"[[356 339 320 340 334 346 338]
 [357 368 355 306 362 326 330]
 [313 367 341 430 367 306 357]
 [343 328 357 650 434 307 334]
 [337 376 362 390 336 337 328]
 [417 360 301 315 307 340 332]
 [362 386 332 397 367 363 371]]"
4,4,130,174,/Users/RajSeehra/University/Masters/Semester 2/test folder/00008.tif,"[[287 304 294 323 297 324 277]
 [283 339 317 315 312 312 343]
 [290 283 257 356 348 326 309]
 [282 305 371 617 429 302 276]
 [272 313 337 547 406 309 304]
 [285 266 285 314 309 274 322]
 [311 280 298 283 290 305 308]]"
5,5,116,60,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[180 167 148 148 221 169 157]
 [156 178 176 159 193 169 160]
 [235 188 226 200 200 190 143]
 [196 237 395 341 170 178 167]
 [173 244 327 293 172 184 154]
 [189 182 227 183 176 171 146]
 [161 174 178 154 133 186 170]]"
6,6,181,64,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[152 192 194 167 197 206 184]
 [158 147 173 168 172 207 177]
 [156 148 199 244 174 173 207]
 [182 216 399 527 300 139 172]
 [178 174 399 545 307 168 171]
 [143 179 228 300 218 183 199]
 [185 185 181 161 190 210 185]]"
7,7,255,68,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[194 239 244 236 196 212 195]
 [202 190 209 210 160 205 208]
 [187 222 195 208 223 193 174]
 [197 209 173 200 221 189 239]
 [188 191 193 215 164 167 218]
 [166 172 185 194 201 248 191]
 [202 216 244 196 207 196 197]]"
8,8,116,118,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[201 198 190 240 219 248 257]
 [212 234 211 237 254 215 247]
 [256 218 218 207 209 218 213]
 [191 192 223 331 243 247 218]
 [225 234 485 582 298 250 232]
 [250 265 447 485 247 253 218]
 [197 221 213 220 242 226 220]]"
9,9,99,134,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[244 274 224 207 240 195 223]
 [248 257 252 236 219 233 227]
 [250 250 291 416 302 250 207]
 [266 236 375 564 355 249 255]
 [213 261 263 358 261 234 273]
 [262 253 250 247 276 234 244]
 [254 287 239 257 229 227 274]]"
10,10,85,152,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[279 316 300 261 329 269 272]
 [308 297 262 260 273 277 324]
 [260 312 264 312 306 299 299]
 [305 301 271 374 279 297 281]
 [299 285 418 639 370 300 298]
 [338 338 365 475 300 268 306]
 [348 296 332 280 291 305 277]]"
11,11,70,178,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[363 394 394 377 372 348 363]
 [375 417 386 330 348 334 361]
 [365 342 347 339 362 364 374]
 [390 422 393 614 424 395 348]
 [364 401 391 531 422 364 347]
 [354 365 407 370 375 376 405]
 [368 366 366 339 351 356 399]]"
12,12,76,180,/Users/RajSeehra/University/Masters/Semester 2/test folder/00003.tif,"[[374 322 358 377 371 330 367]
 [348 374 363 404 377 356 378]
 [347 365 380 372 377 419 363]
 [405 374 350 435 333 344 387]
 [399 321 337 411 329 337 383]
 [404 375 369 347 420 358 375]
 [347 334 377 406 342 314 366]]"
13,13,143,46,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[149 157 159 162 160 182 168]
 [177 158 123 176 191 182 163]
 [188 173 191 360 347 201 156]
 [159 168 204 439 422 242 151]
 [152 163 185 270 243 162 177]
 [158 159 143 181 197 168 180]
 [161 147 130 151 170 160 158]]"
14,14,181,62,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[164 181 176 158 175 210 193]
 [157 168 168 168 162 197 152]
 [160 152 197 334 340 189 196]
 [158 183 212 400 441 213 169]
 [150 186 157 265 237 184 166]
 [158 202 159 170 154 179 196]
 [156 143 171 219 181 186 164]]"
15,15,190,70,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[168 180 207 195 207 185 215]
 [201 171 168 187 182 207 182]
 [182 198 217 193 213 174 175]
 [182 234 342 353 199 184 172]
 [201 254 406 406 227 210 209]
 [168 169 244 256 180 187 224]
 [199 201 164 171 162 163 150]]"
16,16,169,78,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[186 172 172 207 179 186 190]
 [180 169 197 205 173 226 292]
 [164 211 206 175 278 298 340]
 [197 214 183 353 430 369 254]
 [155 187 222 389 444 289 198]
 [176 199 181 273 265 174 165]
 [185 175 190 155 196 196 159]]"
17,17,167,114,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[152 144 120 101 126 128 158]
 [126 150 231 250 177 127 127]
 [158 203 592 697 312 147 149]
 [133 198 512 721 329 126 116]
 [129 141 172 286 138 141 134]
 [139 178 148 139 118 124 143]
 [155 153 157 149 123 147 161]]"
18,18,104,194,/Users/RajSeehra/University/Masters/Semester 2/test folder/00002.tif,"[[368 350 338 322 317 355 371]
 [368 348 380 319 383 343 333]
 [379 344 358 383 384 372 301]
 [364 298 368 628 426 346 336]
 [330 341 368 404 322 340 375]
 [339 307 333 309 342 305 350]
 [314 313 337 330 331 370 341]]"
19,19,234,52,/Users/RajSeehra/University/Masters/Semester 2/test folder/00001.tif,"[[213 218 211 212 199 209 204]
 [214 195 235 196 238 183 240]
 [219 201 170 195 218 186 207]
 [239 209 273 313 207 210 220]
 [223 207 274 348 225 224 209]
 [222 231 229 239 217 246 222]
 [248 231 221 242 220 250 251]]"
20,20,72,122,/Users/RajSeehra/University/Masters/Semester 2/test folder/00001.tif,"[[171 169 216 199 190 214 230]
 [198 211 229 178 206 220 210]
 [185 211 207 223 167 210 205]
 [200 230 239 310 251 211 225]
 [182 208 382 619 367 217 185]
 [197 245 342 473 382 206 214]
 [177 216 224 221 232 220 207]]"
21,21,137,170,/Users/RajSeehra/University/Masters/Semester 2/test folder/00001.tif,"[[292 319 269 267 280 302 292]
 [297 266 303 306 289 318 300]
 [311 286 284 337 312 320 335]
 [299 280 314 429 368 316 332]
 [359 304 391 567 461 319 278]
 [294 299 302 319 286 275 328]
 [301 297 289 314 305 298 283]]"
22,22,50,54,/Users/RajSeehra/University/Masters/Semester 2/test folder/00005.tif,"[[138 193 159 168 148 147 135]
 [147 159 165 142 184 183 194]
 [156 126 168 141 160 163 136]
 [157 161 291 314 223 159 163]
 [146 175 279 408 217 167 183]
 [150 129 159 223 189 162 131]
 [133 181 141 136 180 171 121]]"
23,23,205,100,/Users/RajSeehra/University/Masters/Semester 2/test folder/00005.tif,"[[179 191 177 214 198 183 191]
 [170 168 194 204 208 213 198]
 [190 185 237 336 235 206 204]
 [197 161 274 470 276 200 189]
 [206 178 215 296 227 182 188]
 [184 177 209 195 195 193 202]
 [209 192 204 187 182 219 202]]"
24,24,68,116,/Users/RajSeehra/University/Masters/Semester 2/test folder/00005.tif,"[[151 193 171 161 185 193 211]
 [137 181 173 171 196 166 191]
 [171 164 211 248 297 178 177]
 [206 186 261 756 619 258 201]
 [170 167 364 986 852 341 185]
 [142 161 341 769 631 229 217]
 [180 194 207 310 269 219 224]]"
25,25,69,138,/Users/RajSeehra/University/Masters/Semester 2/test folder/00005.tif,"[[227 241 208 228 284 260 250]
 [239 227 272 238 228 272 217]
 [252 218 223 238 256 263 231]
 [214 235 269 394 290 256 287]
 [224 278 391 548 323 285 259]
 [238 295 289 309 260 290 270]
 [254 288 278 255 265 265 291]]"
26,26,84,154,/Users/RajSeehra/University/Masters/Semester 2/test folder/00005.tif,"[[279 298 273 304 287 250 289]
 [332 263 322 303 328 313 260]
 [265 262 263 309 296 268 338]
 [324 337 353 527 468 335 307]
 [276 325 393 832 619 321 270]
 [324 292 282 399 346 276 297]
 [361 315 325 300 336 294 329]]"
